Loading design...
Design: SKY130 Voltage-Controlled Ring Oscillator
Parameters: 6
Specs: 5

DE: 6 params, pop=30, patience=30, workers=4
[DE] iter    1 | best: -6.889599e+00 | no_improve:   0 | div: 0.2883 | dt: 64.000s
[DE] iter    2 | best: -6.889599e+00 | no_improve:   1 | div: 0.2675 | dt: 23.523s
[DE] iter    3 | best: -7.039896e+00 | no_improve:   0 | div: 0.2410 | dt: 25.235s
[DE] iter    4 | best: -7.039896e+00 | no_improve:   1 | div: 0.2211 | dt: 26.553s
[DE] iter    5 | best: -7.039896e+00 | no_improve:   2 | div: 0.2076 | dt: 68.184s
[DE] iter    6 | best: -7.039896e+00 | no_improve:   3 | div: 0.2035 | dt: 23.907s
[DE] iter    7 | best: -7.039896e+00 | no_improve:   4 | div: 0.1933 | dt: 28.136s
[DE] iter    8 | best: -7.129412e+00 | no_improve:   0 | div: 0.1747 | dt: 25.357s
[DE] iter    9 | best: -7.142889e+00 | no_improve:   0 | div: 0.1728 | dt: 30.359s
[DE] iter   10 | best: -7.145831e+00 | no_improve:   0 | div: 0.1688 | dt: 48.840s
[DE] iter   11 | best: -7.145831e+00 | no_improve:   1 | div: 0.1630 | dt: 88.632s
[DE] iter   12 | best: -7.145831e+00 | no_improve:   2 | div: 0.1548 | dt: 27.770s
[DE] iter   13 | best: -7.203724e+00 | no_improve:   0 | div: 0.1553 | dt: 25.158s
[DE] iter   14 | best: -7.219292e+00 | no_improve:   0 | div: 0.1510 | dt: 27.229s
[DE] iter   15 | best: -7.234022e+00 | no_improve:   0 | div: 0.1479 | dt: 28.117s
[DE] iter   16 | best: -7.234022e+00 | no_improve:   1 | div: 0.1427 | dt: 62.990s
[DE] iter   17 | best: -7.234022e+00 | no_improve:   2 | div: 0.1326 | dt: 30.128s
[DE] iter   18 | best: -7.234022e+00 | no_improve:   3 | div: 0.1319 | dt: 30.470s
[DE] iter   19 | best: -7.234022e+00 | no_improve:   4 | div: 0.1433 | dt: 67.330s
[DE] iter   20 | best: -7.234022e+00 | no_improve:   5 | div: 0.1277 | dt: 26.668s
[DE] iter   21 | best: -7.248213e+00 | no_improve:   0 | div: 0.1203 | dt: 27.564s
[DE] iter   22 | best: -7.252757e+00 | no_improve:   0 | div: 0.1154 | dt: 29.702s
[DE] iter   23 | best: -7.252757e+00 | no_improve:   1 | div: 0.1094 | dt: 30.395s
[DE] iter   24 | best: -7.257554e+00 | no_improve:   0 | div: 0.1113 | dt: 28.257s
[DE] iter   25 | best: -7.271901e+00 | no_improve:   0 | div: 0.1068 | dt: 27.945s
[DE] iter   26 | best: -7.271901e+00 | no_improve:   1 | div: 0.1070 | dt: 32.223s
[DE] iter   27 | best: -7.271901e+00 | no_improve:   2 | div: 0.1023 | dt: 29.991s
[DE] iter   28 | best: -7.271901e+00 | no_improve:   3 | div: 0.0740 | dt: 29.833s
[DE] iter   29 | best: -7.271901e+00 | no_improve:   4 | div: 0.0713 | dt: 29.654s
[DE] iter   30 | best: -7.271901e+00 | no_improve:   5 | div: 0.0713 | dt: 27.793s
[DE] iter   31 | best: -7.271901e+00 | no_improve:   6 | div: 0.0711 | dt: 27.422s
[DE] iter   32 | best: -7.271901e+00 | no_improve:   7 | div: 0.0702 | dt: 27.854s
[DE] iter   33 | best: -7.271901e+00 | no_improve:   8 | div: 0.0710 | dt: 58.722s
[DE] iter   34 | best: -7.271901e+00 | no_improve:   9 | div: 0.0731 | dt: 29.722s
[DE] iter   35 | best: -7.302007e+00 | no_improve:   0 | div: 0.0783 | dt: 29.620s
[DE] iter   36 | best: -7.302007e+00 | no_improve:   1 | div: 0.0804 | dt: 29.793s
[DE] iter   37 | best: -7.302007e+00 | no_improve:   2 | div: 0.0806 | dt: 28.729s
[DE] iter   38 | best: -7.302007e+00 | no_improve:   3 | div: 0.0762 | dt: 55.999s
[DE] iter   39 | best: -7.302007e+00 | no_improve:   4 | div: 0.0780 | dt: 29.646s
[DE] iter   40 | best: -7.302007e+00 | no_improve:   5 | div: 0.0730 | dt: 30.112s
[DE] iter   41 | best: -7.302007e+00 | no_improve:   6 | div: 0.0709 | dt: 63.876s
[DE] iter   42 | best: -7.302007e+00 | no_improve:   7 | div: 0.0719 | dt: 48.318s
[DE] iter   43 | best: -7.302007e+00 | no_improve:   8 | div: 0.0719 | dt: 30.268s
[DE] iter   44 | best: -7.302007e+00 | no_improve:   9 | div: 0.0710 | dt: 29.844s
[DE] iter   45 | best: -7.302007e+00 | no_improve:  10 | div: 0.0695 | dt: 30.290s
[DE] iter   46 | best: -7.302007e+00 | no_improve:  11 | div: 0.0693 | dt: 29.522s
[DE] iter   47 | best: -7.302007e+00 | no_improve:  12 | div: 0.0688 | dt: 30.038s
[DE] iter   48 | best: -7.302007e+00 | no_improve:  13 | div: 0.0691 | dt: 27.374s
[DE] iter   49 | best: -7.302007e+00 | no_improve:  14 | div: 0.0705 | dt: 29.409s
[DE] iter   50 | best: -7.302291e+00 | no_improve:   0 | div: 0.0690 | dt: 29.349s
[DE] iter   51 | best: -7.336730e+00 | no_improve:   0 | div: 0.0692 | dt: 29.652s
[DE] iter   52 | best: -7.336730e+00 | no_improve:   1 | div: 0.0725 | dt: 29.676s
[DE] iter   53 | best: -7.336730e+00 | no_improve:   2 | div: 0.0685 | dt: 29.839s
[DE] iter   54 | best: -7.336730e+00 | no_improve:   3 | div: 0.0693 | dt: 29.895s
[DE] iter   55 | best: -7.336730e+00 | no_improve:   4 | div: 0.0701 | dt: 29.990s
[DE] iter   56 | best: -7.336730e+00 | no_improve:   5 | div: 0.0668 | dt: 29.748s
[DE] iter   57 | best: -7.336730e+00 | no_improve:   6 | div: 0.0617 | dt: 29.866s
[DE] iter   58 | best: -7.336730e+00 | no_improve:   7 | div: 0.0613 | dt: 29.652s
[DE] iter   59 | best: -7.336730e+00 | no_improve:   8 | div: 0.0595 | dt: 29.599s
[DE] iter   60 | best: -7.336730e+00 | no_improve:   9 | div: 0.0601 | dt: 29.867s
[DE] iter   61 | best: -7.338197e+00 | no_improve:   0 | div: 0.0600 | dt: 36.980s
[DE] iter   62 | best: -7.338197e+00 | no_improve:   1 | div: 0.0598 | dt: 30.980s
[DE] iter   63 | best: -7.338197e+00 | no_improve:   2 | div: 0.0583 | dt: 30.377s
[DE] iter   64 | best: -7.338197e+00 | no_improve:   3 | div: 0.0570 | dt: 29.543s
[DE] iter   65 | best: -7.338496e+00 | no_improve:   0 | div: 0.0574 | dt: 29.708s
