Loading design...
Design: SKY130 Voltage-Controlled Ring Oscillator
Parameters: 7
Specs: 5

DE: 7 params, pop=35, patience=30, workers=4
[DE] iter    1 | best: 3.423765e-01 | no_improve:   0 | div: 0.2895 | dt: 36.492s
[DE] iter    2 | best: -6.616659e+00 | no_improve:   0 | div: 0.2810 | dt: 40.415s
[DE] iter    3 | best: -6.616659e+00 | no_improve:   1 | div: 0.2694 | dt: 16.325s
[DE] iter    4 | best: -6.616659e+00 | no_improve:   2 | div: 0.2621 | dt: 14.961s
[DE] iter    5 | best: -6.616659e+00 | no_improve:   3 | div: 0.2611 | dt: 15.219s
[DE] iter    6 | best: -6.616659e+00 | no_improve:   4 | div: 0.2626 | dt: 16.404s
[DE] iter    7 | best: -6.616659e+00 | no_improve:   5 | div: 0.2596 | dt: 17.735s
[DE] iter    8 | best: -6.616659e+00 | no_improve:   6 | div: 0.2552 | dt: 19.162s
[DE] iter    9 | best: -6.727935e+00 | no_improve:   0 | div: 0.2527 | dt: 23.169s
[DE] iter   10 | best: -6.727935e+00 | no_improve:   1 | div: 0.2397 | dt: 22.608s
[DE] iter   11 | best: -6.727935e+00 | no_improve:   2 | div: 0.2244 | dt: 103.315s
[DE] iter   12 | best: -6.727935e+00 | no_improve:   3 | div: 0.2218 | dt: 111.273s
[DE] iter   13 | best: -7.097286e+00 | no_improve:   0 | div: 0.1884 | dt: 25.826s
[DE] iter   14 | best: -7.097286e+00 | no_improve:   1 | div: 0.1801 | dt: 28.092s
[DE] iter   15 | best: -7.097286e+00 | no_improve:   2 | div: 0.1844 | dt: 29.388s
[DE] iter   16 | best: -7.097286e+00 | no_improve:   3 | div: 0.1767 | dt: 27.093s
[DE] iter   17 | best: -7.097286e+00 | no_improve:   4 | div: 0.1751 | dt: 27.077s
[DE] iter   18 | best: -7.097286e+00 | no_improve:   5 | div: 0.1620 | dt: 26.939s
[DE] iter   19 | best: -7.097286e+00 | no_improve:   6 | div: 0.1465 | dt: 27.303s
[DE] iter   20 | best: -7.097286e+00 | no_improve:   7 | div: 0.1375 | dt: 31.283s
[DE] iter   21 | best: -7.097286e+00 | no_improve:   8 | div: 0.1355 | dt: 30.262s
[DE] iter   22 | best: -7.097286e+00 | no_improve:   9 | div: 0.1391 | dt: 29.916s
[DE] iter   23 | best: -7.097286e+00 | no_improve:  10 | div: 0.1380 | dt: 56.862s
[DE] iter   24 | best: -7.097286e+00 | no_improve:  11 | div: 0.1380 | dt: 24.367s
[DE] iter   25 | best: -7.097286e+00 | no_improve:  12 | div: 0.1332 | dt: 29.036s
[DE] iter   26 | best: -7.097286e+00 | no_improve:  13 | div: 0.1270 | dt: 29.229s
[DE] iter   27 | best: -7.097286e+00 | no_improve:  14 | div: 0.1280 | dt: 30.720s
[DE] iter   28 | best: -7.097286e+00 | no_improve:  15 | div: 0.1274 | dt: 53.792s
[DE] iter   29 | best: -7.097286e+00 | no_improve:  16 | div: 0.1197 | dt: 30.267s
[DE] iter   30 | best: -7.097286e+00 | no_improve:  17 | div: 0.1192 | dt: 31.666s
[DE] iter   31 | best: -7.097286e+00 | no_improve:  18 | div: 0.1187 | dt: 29.641s
[DE] iter   32 | best: -7.097286e+00 | no_improve:  19 | div: 0.1144 | dt: 31.889s
[DE] iter   33 | best: -7.097286e+00 | no_improve:  20 | div: 0.1181 | dt: 29.218s
[DE] iter   34 | best: -7.097286e+00 | no_improve:  21 | div: 0.1199 | dt: 31.624s
[DE] iter   35 | best: -7.097286e+00 | no_improve:  22 | div: 0.1199 | dt: 29.367s
[DE] iter   36 | best: -7.097286e+00 | no_improve:  23 | div: 0.1181 | dt: 30.580s
[DE] iter   37 | best: -7.097286e+00 | no_improve:  24 | div: 0.1143 | dt: 32.050s
[DE] iter   38 | best: -7.097286e+00 | no_improve:  25 | div: 0.1137 | dt: 31.536s
[DE] iter   39 | best: -7.097286e+00 | no_improve:  26 | div: 0.1136 | dt: 30.868s
[DE] iter   40 | best: -7.097286e+00 | no_improve:  27 | div: 0.1136 | dt: 27.612s
[DE] iter   41 | best: -7.097286e+00 | no_improve:  28 | div: 0.1120 | dt: 29.527s
[DE] iter   42 | best: -7.113209e+00 | no_improve:   0 | div: 0.1133 | dt: 32.191s
[DE] iter   43 | best: -7.116929e+00 | no_improve:   0 | div: 0.1126 | dt: 31.774s
[DE] iter   44 | best: -7.116929e+00 | no_improve:   1 | div: 0.1128 | dt: 32.109s
[DE] iter   45 | best: -7.116929e+00 | no_improve:   2 | div: 0.1144 | dt: 35.470s
[DE] iter   46 | best: -7.116929e+00 | no_improve:   3 | div: 0.1079 | dt: 30.647s
[DE] iter   47 | best: -7.154256e+00 | no_improve:   0 | div: 0.1078 | dt: 30.181s
[DE] iter   48 | best: -7.154256e+00 | no_improve:   1 | div: 0.1079 | dt: 55.915s
[DE] iter   49 | best: -7.154256e+00 | no_improve:   2 | div: 0.1048 | dt: 43.175s
[DE] iter   50 | best: -7.154256e+00 | no_improve:   3 | div: 0.1047 | dt: 51.414s
[DE] iter   51 | best: -7.154256e+00 | no_improve:   4 | div: 0.1070 | dt: 72.060s
[DE] iter   52 | best: -7.154256e+00 | no_improve:   5 | div: 0.1057 | dt: 30.587s
[DE] iter   53 | best: -7.154256e+00 | no_improve:   6 | div: 0.1061 | dt: 33.271s
[DE] iter   54 | best: -7.154256e+00 | no_improve:   7 | div: 0.1077 | dt: 30.301s
[DE] iter   55 | best: -7.154256e+00 | no_improve:   8 | div: 0.1064 | dt: 27.759s
[DE] iter   56 | best: -7.191547e+00 | no_improve:   0 | div: 0.1083 | dt: 32.609s
[DE] iter   57 | best: -7.191547e+00 | no_improve:   1 | div: 0.1094 | dt: 55.140s
[DE] iter   58 | best: -7.191547e+00 | no_improve:   2 | div: 0.1081 | dt: 108.335s
[DE] iter   59 | best: -7.191547e+00 | no_improve:   3 | div: 0.1082 | dt: 50.998s
[DE] iter   60 | best: -7.191547e+00 | no_improve:   4 | div: 0.1024 | dt: 32.020s
[DE] iter   61 | best: -7.191547e+00 | no_improve:   5 | div: 0.1004 | dt: 72.830s
[DE] iter   62 | best: -7.191547e+00 | no_improve:   6 | div: 0.0969 | dt: 48.048s
