Starting dual-starving ring osc optimization (12 params)
DE: pop=30, patience=15, workers=4
[DE] iter    1 | best: -6.502126e+00 | no_improve:   0 | div: 0.2895 | dt: 14.131s
[DE] iter    2 | best: -6.983311e+00 | no_improve:   0 | div: 0.2630 | dt: 15.306s
[DE] iter    3 | best: -6.983311e+00 | no_improve:   1 | div: 0.2594 | dt: 14.154s
[DE] iter    4 | best: -6.983311e+00 | no_improve:   2 | div: 0.2375 | dt: 18.443s
[DE] iter    5 | best: -6.983311e+00 | no_improve:   3 | div: 0.2195 | dt: 20.580s
[DE] iter    6 | best: -6.983311e+00 | no_improve:   4 | div: 0.2194 | dt: 16.174s
[DE] iter    7 | best: -6.983311e+00 | no_improve:   5 | div: 0.2008 | dt: 21.665s
[DE] iter    8 | best: -6.983311e+00 | no_improve:   6 | div: 0.1963 | dt: 18.543s
[DE] iter    9 | best: -6.983311e+00 | no_improve:   7 | div: 0.1887 | dt: 18.426s
[DE] iter   10 | best: -7.110243e+00 | no_improve:   0 | div: 0.1884 | dt: 20.419s
[DE] iter   11 | best: -7.142819e+00 | no_improve:   0 | div: 0.1892 | dt: 19.532s
[DE] iter   12 | best: -7.177836e+00 | no_improve:   0 | div: 0.1721 | dt: 21.873s
[DE] iter   13 | best: -7.177836e+00 | no_improve:   1 | div: 0.1664 | dt: 18.576s
[DE] iter   14 | best: -7.177836e+00 | no_improve:   2 | div: 0.1604 | dt: 21.776s
[DE] iter   15 | best: -7.177836e+00 | no_improve:   3 | div: 0.1582 | dt: 21.517s
[DE] iter   16 | best: -7.177836e+00 | no_improve:   4 | div: 0.1575 | dt: 20.544s
[DE] iter   17 | best: -7.177836e+00 | no_improve:   5 | div: 0.1510 | dt: 23.069s
[DE] iter   18 | best: -7.177836e+00 | no_improve:   6 | div: 0.1521 | dt: 22.914s
[DE] iter   19 | best: -7.177836e+00 | no_improve:   7 | div: 0.1477 | dt: 22.472s
[DE] iter   20 | best: -7.177836e+00 | no_improve:   8 | div: 0.1426 | dt: 22.955s
[DE] iter   21 | best: -7.177836e+00 | no_improve:   9 | div: 0.1397 | dt: 21.716s
[DE] iter   22 | best: -7.177836e+00 | no_improve:  10 | div: 0.1364 | dt: 20.546s
[DE] iter   23 | best: -7.177836e+00 | no_improve:  11 | div: 0.1366 | dt: 23.019s
[DE] iter   24 | best: -7.177836e+00 | no_improve:  12 | div: 0.1336 | dt: 23.012s
[DE] iter   25 | best: -7.177836e+00 | no_improve:  13 | div: 0.1321 | dt: 23.837s
[DE] iter   26 | best: -7.177836e+00 | no_improve:  14 | div: 0.1276 | dt: 21.687s
[DE] iter   27 | best: -7.177836e+00 | no_improve:  15 | div: 0.1268 | dt: 20.502s
[DE] iter   28 | best: -7.177836e+00 | no_improve:  16 | div: 0.1268 | dt: 22.777s
[DE] iter   29 | best: -7.189668e+00 | no_improve:   0 | div: 0.1275 | dt: 19.626s
[DE] iter   30 | best: -7.189668e+00 | no_improve:   1 | div: 0.1260 | dt: 21.755s
[DE] iter   31 | best: -7.199432e+00 | no_improve:   0 | div: 0.1214 | dt: 19.520s
[DE] iter   32 | best: -7.199432e+00 | no_improve:   1 | div: 0.1223 | dt: 20.630s
[DE] iter   33 | best: -7.199432e+00 | no_improve:   2 | div: 0.1223 | dt: 18.593s
[DE] iter   34 | best: -7.199432e+00 | no_improve:   3 | div: 0.1282 | dt: 19.824s
[DE] iter   35 | best: -7.199432e+00 | no_improve:   4 | div: 0.1281 | dt: 18.491s
[DE] iter   36 | best: -7.199432e+00 | no_improve:   5 | div: 0.1275 | dt: 18.684s
[DE] iter   37 | best: -7.199432e+00 | no_improve:   6 | div: 0.1284 | dt: 21.649s
[DE] iter   38 | best: -7.199432e+00 | no_improve:   7 | div: 0.1248 | dt: 21.864s
[DE] iter   39 | best: -7.241447e+00 | no_improve:   0 | div: 0.1252 | dt: 20.578s
[DE] iter   40 | best: -7.241447e+00 | no_improve:   1 | div: 0.1232 | dt: 23.767s
[DE] iter   41 | best: -7.241447e+00 | no_improve:   2 | div: 0.1228 | dt: 19.713s
